University,Faculty name,Year of BS,University BS,State BS,Country BS,Category US BS,Year of MS,University MS,State MS,Country MS,Category US MS,Year of Phd,University Phd,State Phd,Country Phd,Category US Phd,Year of PostDoc,University PostDoc,State PostDoc,Country PostDoc,Category US PstDoc,Year Asst. Prof,Area,Category Area,University Asst. Prof,Category University (Rank),Citation,,,,,,RAW Data,RAW Data,RAW Data,RAW Data,RAW Data,,,,,
Carnegie Mellon University,Karl Crary,,Carnegie Mellon University - USA,PA,USA,1,,,,,0,,Cornell University - USA,,USA,1,,,,,0,1998,Programming Languages,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Luis VonAhn,,Duke University - USA,NC,USA,1,,,,,0,,Carnegie Mellon University - USA,,USA,1,,,,,0,2006,Human-Computer Interaction,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Mahadev Satyanarayanan,,Indian Institute of Technology - Madras - India,,Madras - India,0,,Indian Institute of Technology - Madras - India,,Madras - India,0,,Carnegie Mellon University - USA,,USA,1,,,,,0,,Security & Privacy,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Manuel Blum,1959,Massachusetts Institute of Technology - USA,MA,USA,1,1961,Massachusetts Institute of Technology - USA,MA,USA,1,1964,Massachusetts Institute of Technology - USA,MA,USA,1,,,,,0,2001,Algorithms & Theory,2,MIT,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Manuela Veloso,,Instituto Superior Tecnico - Lisbon - Portugal,,Lisbon - Portugal,0,,Boston University - USA,MA,USA,1,,Carnegie Mellon University - USA,PA,USA,1,,,,,0,1997,Artificial Intelligence,1,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Mary Shaw,,Rice University - USA,,USA,1,,,,,0,,Carnegie Mellon University - USA,,USA,1,,,,,0,,Software Engineering,7,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Matt Mason,,Massachusetts Institute of Technology - USA,MA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,,,,0,1982,Artificial Intelligence,1,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Michael Erdmann,,University of Washington - USA,WA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,,,,0,1989,Bioinformatics & Computational Biology,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Mor Harchol-Balter,,Brandeis University - USA,MA,USA,1,,,,,0,,University of California - Berkeley - USA,,Berkeley - USA,1,,,,,0,1999,Scientific Computing,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Nancy Pollard,,,,,0,,,,,0,,Massachusetts Institute of Technology - USA,,USA,1,,,,,0,,Human-Computer Interaction,,,1,,,,,,,,,,,,,,,,
